Numero de iteraciones,Numero de capas,Neuronas por capa,Tasa de aprendizaje,Grado de Confianza,Minimo del error promedio en entrenamiento,Maximo del error promedio en entrenamiento,Falsos positivos entrenamiento,Falsos negativos en el entrenamiento,Minimo del error promedio en pruebas,Maximo del error promedio en pruebas,Falsos negativos en pruebas,Falsos positivos en pruebas
5000,1,[1],0.1,0.9,0.13221045250767818,0.24150221726705953,1,33,0.08225221218022266,0.22377222093107452,7,0
5000,1,[1],0.1,0.8,0.13221045250767818,0.24150221726705953,1,25,0.08225221218022266,0.22377222093107452,7,0
5000,1,[1],0.1,0.7,0.13221045250767818,0.24150221726705953,4,16,0.08225221218022266,0.22377222093107452,3,0
5000,1,[1],0.1,0.6,0.13221045250767818,0.24150221726705953,6,13,0.08225221218022266,0.22377222093107452,3,0
5000,1,[1],0.1,0.5,0.13221045250767818,0.24150221726705953,9,10,0.08225221218022266,0.22377222093107452,2,2
5000,1,[1],0.01,0.9,0.135115400635285,0.2490861388071019,0,39,0.09623450027711337,0.24701526283400185,10,0
5000,1,[1],0.01,0.8,0.135115400635285,0.2490861388071019,1,33,0.09623450027711337,0.24701526283400185,7,0
5000,1,[1],0.01,0.7,0.135115400635285,0.2490861388071019,4,18,0.09623450027711337,0.24701526283400185,5,0
5000,1,[1],0.01,0.6,0.135115400635285,0.2490861388071019,7,14,0.09623450027711337,0.24701526283400185,3,2
5000,1,[1],0.01,0.5,0.135115400635285,0.2490861388071019,14,10,0.09623450027711337,0.24701526283400185,2,2
5000,1,[1],0.001,0.9,0.15157205804491028,0.24990807648419272,0,40,0.12671762881659437,0.24969748081616358,10,0
5000,1,[1],0.001,0.8,0.15157205804491028,0.24990807648419272,0,38,0.12671762881659437,0.24969748081616358,10,0
5000,1,[1],0.001,0.7,0.15157205804491028,0.24990807648419272,4,29,0.12671762881659437,0.24969748081616358,8,0
5000,1,[1],0.001,0.6,0.15157205804491028,0.24990807648419272,8,15,0.12671762881659437,0.24969748081616358,3,2
5000,1,[1],0.001,0.5,0.15157205804491028,0.24990807648419272,20,4,0.12671762881659437,0.24969748081616358,2,3
10000,1,[1],0.1,0.9,0.13218010349241333,0.24150221726705953,1,33,0.08162441542301072,0.22377222093107452,7,0
10000,1,[1],0.1,0.8,0.13218010349241333,0.24150221726705953,1,25,0.08162441542301072,0.22377222093107452,6,0
10000,1,[1],0.1,0.7,0.13218010349241333,0.24150221726705953,4,16,0.08162441542301072,0.22377222093107452,3,0
10000,1,[1],0.1,0.6,0.13218010349241333,0.24150221726705953,6,13,0.08162441542301072,0.22377222093107452,3,0
10000,1,[1],0.1,0.5,0.13218010349241333,0.24150221726705953,9,10,0.08162441542301072,0.22377222093107452,2,2
10000,1,[1],0.01,0.9,0.13261470252111443,0.2490861388071019,0,36,0.08939835175955348,0.24701526283400185,8,0
10000,1,[1],0.01,0.8,0.13261470252111443,0.2490861388071019,1,31,0.08939835175955348,0.24701526283400185,7,0
10000,1,[1],0.01,0.7,0.13261470252111443,0.2490861388071019,4,17,0.08939835175955348,0.24701526283400185,4,0
10000,1,[1],0.01,0.6,0.13261470252111443,0.2490861388071019,6,13,0.08939835175955348,0.24701526283400185,2,2
10000,1,[1],0.01,0.5,0.13261470252111443,0.2490861388071019,11,10,0.08939835175955348,0.24701526283400185,2,2
10000,1,[1],0.001,0.9,0.14628938443801107,0.24990807648419272,0,40,0.1177815186720021,0.24969748081616358,10,0
10000,1,[1],0.001,0.8,0.14628938443801107,0.24990807648419272,1,36,0.1177815186720021,0.24969748081616358,9,0
10000,1,[1],0.001,0.7,0.14628938443801107,0.24990807648419272,4,27,0.1177815186720021,0.24969748081616358,6,0
10000,1,[1],0.001,0.6,0.14628938443801107,0.24990807648419272,8,15,0.1177815186720021,0.24969748081616358,3,2
10000,1,[1],0.001,0.5,0.14628938443801107,0.24990807648419272,17,4,0.1177815186720021,0.24969748081616358,3,3
15000,1,[1],0.1,0.9,0.13217800008089478,0.24150221726705953,1,33,0.08153783921118846,0.22377222093107452,7,0
15000,1,[1],0.1,0.8,0.13217800008089478,0.24150221726705953,1,25,0.08153783921118846,0.22377222093107452,6,0
15000,1,[1],0.1,0.7,0.13217800008089478,0.24150221726705953,4,16,0.08153783921118846,0.22377222093107452,3,0
15000,1,[1],0.1,0.6,0.13217800008089478,0.24150221726705953,6,13,0.08153783921118846,0.22377222093107452,3,0
15000,1,[1],0.1,0.5,0.13217800008089478,0.24150221726705953,9,10,0.08153783921118846,0.22377222093107452,2,2
15000,1,[1],0.01,0.9,0.1318950835386303,0.2490861388071019,1,35,0.08658967664298395,0.24701526283400185,7,0
15000,1,[1],0.01,0.8,0.1318950835386303,0.2490861388071019,1,26,0.08658967664298395,0.24701526283400185,7,0
15000,1,[1],0.01,0.7,0.1318950835386303,0.2490861388071019,4,16,0.08658967664298395,0.24701526283400185,4,0
15000,1,[1],0.01,0.6,0.1318950835386303,0.2490861388071019,6,13,0.08658967664298395,0.24701526283400185,2,1
15000,1,[1],0.01,0.5,0.1318950835386303,0.2490861388071019,11,10,0.08658967664298395,0.24701526283400185,2,2
15000,1,[1],0.001,0.9,0.143180683097977,0.24990807648419272,0,40,0.11226584020161,0.24969748081616358,10,0
15000,1,[1],0.001,0.8,0.143180683097977,0.24990807648419272,1,35,0.11226584020161,0.24969748081616358,9,0
15000,1,[1],0.001,0.7,0.143180683097977,0.24990807648419272,4,25,0.11226584020161,0.24969748081616358,6,0
15000,1,[1],0.001,0.6,0.143180683097977,0.24990807648419272,9,15,0.11226584020161,0.24969748081616358,3,2
15000,1,[1],0.001,0.5,0.143180683097977,0.24990807648419272,17,4,0.11226584020161,0.24969748081616358,3,3
5000,2,[2-1],0.1,0.9,0.22594910259875226,0.2521503961973476,0,39,0.2355926487437659,0.26179732727925115,11,0
5000,2,[2-1],0.1,0.8,0.22594910259875226,0.2521503961973476,0,28,0.2355926487437659,0.26179732727925115,8,0
5000,2,[2-1],0.1,0.7,0.22594910259875226,0.2521503961973476,4,17,0.2355926487437659,0.26179732727925115,7,2
5000,2,[2-1],0.1,0.6,0.22594910259875226,0.2521503961973476,7,10,0.2355926487437659,0.26179732727925115,7,4
5000,2,[2-1],0.1,0.5,0.22594910259875226,0.2521503961973476,81,0,0.2355926487437659,0.26179732727925115,0,19
5000,2,[2-1],0.01,0.9,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
5000,2,[2-1],0.01,0.8,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
5000,2,[2-1],0.01,0.7,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
5000,2,[2-1],0.01,0.6,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
5000,2,[2-1],0.01,0.5,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
5000,2,[2-1],0.001,0.9,0.22667322053742678,0.2500188556469054,0,39,0.23559278512975637,0.250426416306514,11,0
5000,2,[2-1],0.001,0.8,0.22667322053742678,0.2500188556469054,0,39,0.23559278512975637,0.250426416306514,11,0
5000,2,[2-1],0.001,0.7,0.22667322053742678,0.2500188556469054,0,39,0.23559278512975637,0.250426416306514,11,0
5000,2,[2-1],0.001,0.6,0.22667322053742678,0.2500188556469054,0,39,0.23559278512975637,0.250426416306514,11,0
5000,2,[2-1],0.001,0.5,0.22667322053742678,0.2500188556469054,0,39,0.23559278512975637,0.250426416306514,11,0
10000,2,[2-1],0.1,0.9,0.22003478064760695,0.2521503961973476,0,39,0.2355926487437659,0.26179732727925115,11,0
10000,2,[2-1],0.1,0.8,0.22003478064760695,0.2521503961973476,0,25,0.2355926487437659,0.26179732727925115,8,1
10000,2,[2-1],0.1,0.7,0.22003478064760695,0.2521503961973476,3,13,0.2355926487437659,0.26179732727925115,7,2
10000,2,[2-1],0.1,0.6,0.22003478064760695,0.2521503961973476,7,12,0.2355926487437659,0.26179732727925115,7,5
10000,2,[2-1],0.1,0.5,0.22003478064760695,0.2521503961973476,81,0,0.2355926487437659,0.26179732727925115,0,19
10000,2,[2-1],0.01,0.9,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
10000,2,[2-1],0.01,0.8,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
10000,2,[2-1],0.01,0.7,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
10000,2,[2-1],0.01,0.6,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
10000,2,[2-1],0.01,0.5,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.25042384868430106,11,0
10000,2,[2-1],0.001,0.9,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
10000,2,[2-1],0.001,0.8,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
10000,2,[2-1],0.001,0.7,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
10000,2,[2-1],0.001,0.6,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
10000,2,[2-1],0.001,0.5,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
15000,2,[2-1],0.1,0.9,0.2173586702536767,0.2521503961973476,0,39,0.2355926487437659,0.26179732727925115,11,0
15000,2,[2-1],0.1,0.8,0.2173586702536767,0.2521503961973476,1,18,0.2355926487437659,0.26179732727925115,8,1
15000,2,[2-1],0.1,0.7,0.2173586702536767,0.2521503961973476,3,13,0.2355926487437659,0.26179732727925115,7,2
15000,2,[2-1],0.1,0.6,0.2173586702536767,0.2521503961973476,7,12,0.2355926487437659,0.26179732727925115,7,3
15000,2,[2-1],0.1,0.5,0.2173586702536767,0.2521503961973476,81,0,0.2355926487437659,0.26179732727925115,0,19
15000,2,[2-1],0.01,0.9,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.2527920521607471,11,0
15000,2,[2-1],0.01,0.8,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.2527920521607471,11,0
15000,2,[2-1],0.01,0.7,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.2527920521607471,11,0
15000,2,[2-1],0.01,0.6,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.2527920521607471,11,0
15000,2,[2-1],0.01,0.5,0.22676993389916034,0.2502164289986763,0,39,0.23559017372854738,0.2527920521607471,11,0
15000,2,[2-1],0.001,0.9,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
15000,2,[2-1],0.001,0.8,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
15000,2,[2-1],0.001,0.7,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
15000,2,[2-1],0.001,0.6,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
15000,2,[2-1],0.001,0.5,0.22667322053742678,0.2500223509827207,0,39,0.23559278512975637,0.250426416306514,11,0
2000,2,[3-1],0.1,0.9,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
2000,2,[3-1],0.1,0.8,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
2000,2,[3-1],0.1,0.7,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
2000,2,[3-1],0.1,0.6,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
2000,2,[3-1],0.1,0.5,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
2000,2,[3-1],0.01,0.9,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
2000,2,[3-1],0.01,0.8,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
2000,2,[3-1],0.01,0.7,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
2000,2,[3-1],0.01,0.6,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
2000,2,[3-1],0.01,0.5,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
2000,2,[3-1],0.001,0.9,0.2281047379774654,0.24971292314891938,0,40,0.22729663864457095,0.24938153719843778,10,0
2000,2,[3-1],0.001,0.8,0.2281047379774654,0.24971292314891938,0,40,0.22729663864457095,0.24938153719843778,10,0
2000,2,[3-1],0.001,0.7,0.2281047379774654,0.24971292314891938,0,40,0.22729663864457095,0.24938153719843778,10,0
2000,2,[3-1],0.001,0.6,0.2281047379774654,0.24971292314891938,0,40,0.22729663864457095,0.24938153719843778,10,0
2000,2,[3-1],0.001,0.5,0.2281047379774654,0.24971292314891938,0,40,0.22729663864457095,0.24938153719843778,10,0
4000,2,[3-1],0.1,0.9,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
4000,2,[3-1],0.1,0.8,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
4000,2,[3-1],0.1,0.7,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
4000,2,[3-1],0.1,0.6,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
4000,2,[3-1],0.1,0.5,0.2292963630892556,0.25247905087607514,0,40,0.22628168904439488,0.25039491393314567,10,0
4000,2,[3-1],0.01,0.9,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
4000,2,[3-1],0.01,0.8,0.2281657987259584,0.2503376751764158,0,40,0.22719360054292465,0.25133391648102577,10,0
